Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Leiden_0	Hepatocyte	2.22502262284688e-11	1.01137391947585e-13	NA	3/91	6/205	SERPINA1,SPINK1,KRT18	NEAT1,AMBP,SERPINA1,VTN,SPINK1,RBP4
2	Leiden_0	Epithelial cell	0.00415354849671648	7.88532200735084e-06	0.377166156982671	5/376	13/645	KRT18,TM4SF4,MT-CO2,SEC61G,TUBA1B	NEAT1,SERPINA1,MPC2,MT-CO1,RARRES2,SPINK1,PRAP1,HSPA5,KRT18,MDK,RBP4,S100A10,B2M
3	Leiden_0	Kupffer cell	0.00835310851935317	0.000227812050527814	NA	5/286	0/87	NEAT1,SERPINA1,CD63,TUBA1B,B2M	
4	Leiden_0	Macrophage	0.00835310851935317	0.000220365714069231	NA	5/281	4/226	NEAT1,SERPINA1,CD63,TUBA1B,B2M	NEAT1,CD63,TUBA1B,B2M
5	Leiden_0	Cholangiocyte	0.012370895354918	0.000428325055707648	0.0843091334894614	2/36	5/109	KRT18,TM4SF4	AMBP,SERPINA1,SPINK1,KRT18,TM4SF4
6	Leiden_0	Monocyte	0.012370895354918	0.000449850740178836	NA	4/218	3/120	NEAT1,SERPINA1,SEC61G,CD63	NEAT1,SERPINA1,S100A10
7	Leiden_0	Progenitor cell	0.0202184892995251	0.00013880985725052	0.641111111111111	3/178	6/268	KRT18,MDK,TUBA1B	NEAT1,SPINK1,KRT18,MDK,S100A10,PTMA
1	Leiden_1	Effector memory CD8-positive, alpha-beta T cell	3.49830776531595e-38	1.70649159283704e-39	NA	7/44	0/1	IL7R,CXCR4,GZMK,CD69,TRAC,GPR183,CCL5	
2	Leiden_1	Effector memory CD4-positive, alpha-beta T cell	1.72238371171042e-35	1.26028076466616e-36	NA	6/26	0/1	IL7R,CXCR4,ANXA1,GZMK,RORA,CCL5	
3	Leiden_1	CD4-positive, alpha-beta T cell	8.292662346356e-32	3.27898974103417e-29	3.11268470719906e-06	10/93	26/817	IL7R,ANXA1,GZMK,CD69,TRAC,LTB,TNFAIP3,GPR183,CD2,CCL5	IL7R,CXCR4,ANXA1,GZMK,ZFP36L2,CD3D,RGCC,CD69,RPS29,TRAC,LTB,LEPROTL1,RPS25,S100A4,CD52,RPS27,SRGN,TNFAIP3,RORA,CD3E,SARAF,GPR183,RPL28,RPL31,CD2,CCL5
4	Leiden_1	Central memory CD4-positive, alpha-beta T cell	9.40576182022437e-28	1.14704412441761e-28	NA	6/25	0/1	IL7R,ANXA1,ZFP36L2,CD69,TRAC,LTB	
5	Leiden_1	Memory T cell	2.15867563545505e-27	1.46306269187173e-26	0.000314982521027319	5/16	18/214	IL7R,CD69,LTB,S100A4,GPR183	IL7R,CXCR4,GZMK,ZFP36L2,CD3D,CD69,RPS29,TRAC,LTB,LEPROTL1,CD52,RPS27,TNFAIP3,CD3E,GPR183,RPL28,CD2,CCL5
6	Leiden_1	Helper T cell	2.46697172989538e-24	1.18585485083115e-23	0.000579963589898966	6/57	14/170	IL7R,CXCR4,GZMK,CD69,CD52,GPR183	IL7R,CXCR4,CD3D,CD69,RPS29,TRAC,LTB,S100A4,CD52,RPS27,SRGN,CD3E,RPL31,CD2
7	Leiden_1	Activated CD4-positive, alpha-beta T cell	1.57922147887848e-23	1.49615652336014e-23	0.00347791763232156	5/30	16/85	IL7R,ANXA1,RGCC,CD69,LTB	IL7R,CXCR4,ANXA1,CD3D,RGCC,CD69,TRAC,LTB,LEPROTL1,S100A4,CD52,TNFAIP3,RORA,CD3E,GPR183,CD2
