species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	LTB	B cells	TNFSF3|TNFC	0.065	lymphotoxin beta	protein-coding gene		Mesoderm	Immune system	0.612903	0.453488	0.154313	0.0385594
Mm Hs	CD27	B cells	S152|Tp55|TNFRSF7	0.018	CD27 molecule	protein-coding gene	1.0	Mesoderm	Immune system	0.112903	0.0	0.0210863	0.0160501
Mm Hs	CD74	B cells	DHLAG	0.169	CD74 molecule	protein-coding gene	1.0	Mesoderm	Immune system	0.983871	0.94186	0.351438	0.111437
Mm Hs	CD27	B cells memory	S152|Tp55|TNFRSF7	0.018	CD27 molecule	protein-coding gene	1.0	Mesoderm	Immune system	0.0	0.0	0.0228697	0.0157844
Mm Hs	CD37	B cells memory	TSPAN26	0.116	CD37 molecule	protein-coding gene	1.0	Mesoderm	Immune system	0.0	0.0	0.215852	0.0949631
Mm Hs	LTB	B cells memory	TNFSF3|TNFC	0.065	lymphotoxin beta	protein-coding gene	1.0	Mesoderm	Immune system	0.0	0.0	0.163221	0.0454283
Mm Hs	PTPRCAP	B cells memory	CD45-AP	0.072	protein tyrosine phosphatase, receptor type C associated protein	protein-coding gene	1.0	Mesoderm	Immune system	0.0	0.0	0.0	0.0865576
Mm Hs	CD37	B cells naive	TSPAN26	0.116	CD37 molecule	protein-coding gene	1.0	Mesoderm	Immune system	1.0	0.0	0.21215	0.0949631
Mm Hs	LTB	B cells naive	TNFSF3|TNFC	0.065	lymphotoxin beta	protein-coding gene	1.0	Mesoderm	Immune system	1.0	0.0	0.15927	0.0454283
Mm Hs	PTPRCAP	B cells naive	CD45-AP	0.072	protein tyrosine phosphatase, receptor type C associated protein	protein-coding gene	1.0	Mesoderm	Immune system	0.0	0.0	0.0	0.0865576
Mm Hs	CD74	B cells naive	DHLAG	0.169	CD74 molecule	protein-coding gene	1.0	Mesoderm	Immune system	1.0	0.0	0.360718	0.125184
