meanAbundance,Variance,select,prevalence,prevalence_0,prevalence_1,featureID
0.001125239,0.00077869004,No selected,0.0016233766233766235,0.001244167962674961,0.004158004158004158,Xkr4
0.0,0.0,No selected,0.0,0.0,0.0,Gm37381
0.0,0.0,No selected,0.0,0.0,0.0,Rp1
0.0,0.0,No selected,0.0,0.0,0.0,Rp1-1
0.0,0.0,No selected,0.0,0.0,0.0,Sox17
0.0,0.0,No selected,0.0,0.0,0.0,Gm37323
0.10037629,0.065532304,ADlasso,0.13744588744588745,0.1458786936236392,0.08108108108108109,Mrpl15
0.00018753982,0.00012995752,No selected,0.00027056277056277056,0.00031104199066874026,0.0,Rgs20
0.00037507963,0.0002598447,No selected,0.0005411255411255411,0.0006220839813374805,0.0,Npbwr1
0.0037507957,0.0025857852,No selected,0.005411255411255411,0.004976671850699844,0.008316008316008316,4732440D04Rik
0.0039383355,0.002714336,No selected,0.005681818181818182,0.005909797822706065,0.004158004158004158,Gm26901
0.0033757163,0.0023284731,No selected,0.00487012987012987,0.0052877138413685845,0.002079002079002079,Sntg1
0.0,0.0,No selected,0.0,0.0,0.0,Gm29520
0.0021726417,0.0016217622,No selected,0.002976190476190476,0.003421461897356143,0.0,Mybl1
0.094919875,0.061040152,ADlasso,0.1314935064935065,0.13374805598755832,0.11642411642411643,Vcpip1
0.30185765,0.18193817,ADlasso,0.36228354978354976,0.3922239502332815,0.16216216216216217,Snhg6
0.011393959,0.008129434,No selected,0.015963203463203464,0.013374805598755831,0.033264033264033266,Tcf24
0.006298519,0.004446649,No selected,0.008928571428571428,0.00933125972006221,0.006237006237006237,Ppp1r42
0.64144546,0.26812312,ADlasso,0.6688311688311688,0.6827371695178849,0.5758835758835759,Cops5
0.17881672,0.10926545,ADlasso,0.23647186147186147,0.232348367029549,0.26403326403326405,Arfgef1
0.0,0.0,No selected,0.0,0.0,0.0,Cpa6
0.0,0.0,No selected,0.0,0.0,0.0,Gm29663
0.0009376991,0.0006490842,No selected,0.0013528138528138528,0.0015552099533437014,0.0,Slco5a1
0.0005626194,0.00038966155,No selected,0.0008116883116883117,0.00031104199066874026,0.004158004158004158,Prdm14
0.076243855,0.05065106,ADlasso,0.10524891774891774,0.10139968895800933,0.13097713097713098,Ncoa2
0.57256216,0.2691612,ADlasso,0.6098484848484849,0.6146189735614308,0.577962577962578,Tram1
0.093154825,0.06377548,ADlasso,0.12472943722943723,0.13468118195956455,0.058212058212058215,Lactb2
0.0077988384,0.0054654395,No selected,0.011093073593073594,0.008087091757387248,0.031185031185031187,Eya1
0.0,0.0,No selected,0.0,0.0,0.0,Msc
0.0015003186,0.0010376907,No selected,0.0021645021645021645,0.0018662519440124418,0.004158004158004158,Trpa1
0.120694034,0.10148578,No selected,0.13825757575757575,0.15800933125972005,0.006237006237006237,Sbspon
0.0013127788,0.00090822554,No selected,0.001893939393939394,0.0018662519440124418,0.002079002079002079,4930444P10Rik
2.9323204,0.30411053,ADlasso,1.0,1.0,1.0,Rpl7
0.10318965,0.06760082,ADlasso,0.14042207792207792,0.14276827371695178,0.12474012474012475,Stau2
0.012377623,0.008426311,No selected,0.017857142857142856,0.015241057542768274,0.035343035343035345,Ube2w
1.0002002,0.2946533,ADlasso,0.8579545454545454,0.8637636080870917,0.8191268191268192,Tceb1
0.0009376991,0.0006490842,No selected,0.0013528138528138528,0.001244167962674961,0.002079002079002079,Jph1
0.0,0.0,No selected,0.0,0.0,0.0,Gm28154
0.0,0.0,No selected,0.0,0.0,0.0,Gm16070
0.0,0.0,No selected,0.0,0.0,0.0,Gm28153
0.0,0.0,No selected,0.0,0.0,0.0,Crisp4
0.0,0.0,No selected,0.0,0.0,0.0,Defb18
0.0,0.0,No selected,0.0,0.0,0.0,Defb41
0.0,0.0,No selected,0.0,0.0,0.0,Gm15825
0.028962659,0.020822253,No selected,0.03977272727272727,0.0432348367029549,0.016632016632016633,Pkhd1
0.0,0.0,No selected,0.0,0.0,0.0,Il17f
0.2252777,0.20506713,ADlasso,0.22808441558441558,0.2581648522550544,0.02702702702702703,Mcm3
0.001125239,0.00077869004,No selected,0.0016233766233766235,0.0015552099533437014,0.002079002079002079,6720483E21Rik
0.008439293,0.0057784477,No selected,0.012175324675324676,0.013374805598755831,0.004158004158004158,Tram2
0.0,0.0,No selected,0.0,0.0,0.0,Gm28836
0.00018753982,0.00012995752,No selected,0.00027056277056277056,0.00031104199066874026,0.0,Kcnq5
0.0037826635,0.0028486778,No selected,0.005140692640692641,0.005909797822706065,0.0,Rims1
0.0,0.0,No selected,0.0,0.0,0.0,4933415F23Rik
0.047826264,0.032569565,No selected,0.06682900432900434,0.07402799377916018,0.018711018711018712,Ogfrl1
0.31057897,0.17290229,ADlasso,0.38257575757575757,0.3925349922239502,0.316008316008316,Smap1
0.5634524,0.2648019,ADlasso,0.601461038961039,0.5937791601866252,0.6528066528066528,Sdhaf4
0.18661983,0.117244795,ADlasso,0.2416125541125541,0.24603421461897357,0.21205821205821207,Fam135a
0.0006723232,0.0005860888,No selected,0.0008116883116883117,0.0,0.006237006237006237,Col19a1
0.0,0.0,No selected,0.0,0.0,0.0,Gm28237
0.0,0.0,No selected,0.0,0.0,0.0,Gm29414
0.011924707,0.008243903,No selected,0.017045454545454544,0.015552099533437015,0.02702702702702703,Adgrb3
0.0,0.0,No selected,0.0,0.0,0.0,4931408C20Rik
0.0,0.0,No selected,0.0,0.0,0.0,Gm597
0.00018753982,0.00012995752,No selected,0.00027056277056277056,0.00031104199066874026,0.0,Gm9898
0.20928752,0.12505557,ADlasso,0.2727272727272727,0.2668740279937792,0.31185031185031187,Phf3
0.06020747,0.041260388,ADlasso,0.08279220779220779,0.08615863141524106,0.060291060291060294,Ptp4a1
0.0,0.0,No selected,0.0,0.0,0.0,Gm29669
0.0,0.0,No selected,0.0,0.0,0.0,4931428L18Rik
0.0,0.0,No selected,0.0,0.0,0.0,Gm5415
0.0,0.0,No selected,0.0,0.0,0.0,Gm37591
0.04720357,0.033941258,No selected,0.06385281385281386,0.07122861586314153,0.014553014553014554,Prim2
0.22313102,0.14702222,ADlasso,0.2727272727272727,0.29300155520995336,0.13721413721413722,Bag2
0.04460624,0.030134177,ADlasso,0.06277056277056277,0.06251944012441679,0.06444906444906445,Zfp451
0.0005626194,0.00038966155,No selected,0.0008116883116883117,0.0006220839813374805,0.002079002079002079,Bend6
0.0,0.0,No selected,0.0,0.0,0.0,Gm37958
0.0030006368,0.0020708796,No selected,0.004329004329004329,0.004354587869362364,0.004158004158004158,Gm37233
0.43418917,0.2229053,ADlasso,0.5005411255411255,0.5013996889580093,0.49480249480249483,Ccdc115
0.0,0.0,No selected,0.0,0.0,0.0,Gm28306
0.0,0.0,No selected,0.0,0.0,0.0,4930568A12Rik
0.0,0.0,No selected,0.0,0.0,0.0,Prss40
0.0,0.0,No selected,0.0,0.0,0.0,1700101I19Rik
0.0009376991,0.0006490842,No selected,0.0013528138528138528,0.0015552099533437014,0.0,Gm38336
0.15927652,0.10116031,ADlasso,0.20995670995670995,0.22115085536547435,0.13513513513513514,Fam168b
0.0,0.0,No selected,0.0,0.0,0.0,Gm37068
0.0,0.0,No selected,0.0,0.0,0.0,Gm37146
0.00018753982,0.00012995752,No selected,0.00027056277056277056,0.00031104199066874026,0.0,Gm33222
0.00037507963,0.0002598447,No selected,0.0005411255411255411,0.0006220839813374805,0.0,Gm37335
