Gene	Weight	Tendency	Symbol
ENSG00000177606	0.31579834	1	JUN
ENSG00000196154	0.013167499	1	S100A4
ENSG00000034510	-0.8261336	0	TMSB10
ENSG00000115523	-1.3480847	0	GNLY
ENSG00000158050	0.26835942	1	DUSP2
ENSG00000113088	1.9383419	1	GZMK
ENSG00000019582	-0.0303067	0	CD74
ENSG00000120129	0.38700792	1	DUSP1
ENSG00000227507	0.29702422	1	LTB
ENSG00000156508	0.031285126	1	EEF1A1
ENSG00000205542	-1.1878995	0	TMSB4X
ENSG00000167996	-0.12630571	0	FTH1
ENSG00000251562	-0.07219883	0	MALAT1
ENSG00000111348	-0.00054461113	0	ARHGDIB
ENSG00000089157	0.090630464	1	RPLP0
ENSG00000170345	0.10393278	1	FOS
ENSG00000166710	-0.06806406	0	B2M
ENSG00000008517	0.53066635	1	IL32
ENSG00000161570	2.2247186	1	CCL5
ENSG00000104904	-0.09930142	0	OAZ1
ENSG00000171223	0.119285256	1	JUNB
