Gene	Weight	Tendency	Symbol
ENSG00000116251	0.074165665	1	RPL22
ENSG00000142676	0.066940986	1	RPL11
ENSG00000142669	-0.13707173	0	SH3BGRL3
ENSG00000169442	0.08808335	1	CD52
ENSG00000182866	0.007471632	1	LCK
ENSG00000065978	1.2587452e-07	1	YBX1
ENSG00000177606	1.4821504	1	JUN
ENSG00000122406	0.08919957	1	RPL5
ENSG00000197956	-0.027178641	0	S100A6
ENSG00000196154	0.44924453	1	S100A4
ENSG00000177954	0.010019511	1	RPS27
ENSG00000009790	0.014835922	1	TRAF3IP3
ENSG00000143947	0.012020971	1	RPS27A
ENSG00000034510	0.053477783	1	TMSB10
ENSG00000071082	0.013760579	1	RPL31
ENSG00000114942	3.189322e-07	1	EEF1B2
ENSG00000163466	-0.060622066	0	ARPC2
ENSG00000187514	-0.016483514	0	PTMA
ENSG00000144713	0.0061602783	1	RPL32
ENSG00000174748	-0.042266995	0	RPL15
ENSG00000168028	6.5513186e-06	1	RPSA
ENSG00000188846	1.7257291e-07	1	RPL14
ENSG00000162244	0.027590938	1	RPL29
ENSG00000114391	0.016770313	1	RPL24
ENSG00000169714	0.01609376	1	CNBP
ENSG00000182899	0.051215578	1	RPL35A
ENSG00000163682	0.08224006	1	RPL9
ENSG00000118816	0.0010857692	1	CCNI
ENSG00000109475	0.1665297	1	RPL34
ENSG00000145592	0.0037086925	1	RPL37
ENSG00000145741	0.002476793	1	BTF3
ENSG00000186468	-0.0033727384	0	RPS23
ENSG00000169567	0.060878836	1	HINT1
ENSG00000019582	-0.6115475	0	CD74
ENSG00000164587	-0.009948397	0	RPS14
ENSG00000181163	0.05216379	1	NPM1
ENSG00000120129	-0.042815007	0	DUSP1
ENSG00000204628	1.2859182e-06	1	GNB2L1
ENSG00000206503	-0.09280348	0	HLA-A
ENSG00000204592	-0.02710898	0	HLA-E
ENSG00000204525	-0.15683237	0	HLA-C
ENSG00000234745	-0.21237455	0	HLA-B
ENSG00000227507	0.56901234	1	LTB
ENSG00000213719	-0.09131811	0	CLIC1
ENSG00000124614	0.0025494664	1	RPS10
ENSG00000156508	0.11749435	1	EEF1A1
ENSG00000112306	0.0137853585	1	RPS12
ENSG00000026297	0.039454676	1	RNASET2
ENSG00000075624	0.5829231	1	ACTB
ENSG00000196683	0.011329267	1	TOMM7
ENSG00000197448	0.06413165	1	GSTK1
ENSG00000179144	0.14770885	1	GIMAP7
ENSG00000205542	-0.16300683	0	TMSB4X
ENSG00000198034	0.0031316609	1	RPS4X
ENSG00000241343	0.012337523	1	RPL36A
ENSG00000147403	-0.23409447	0	RPL10
ENSG00000133872	0.059961926	1	TMEM66
ENSG00000008988	0.041058064	1	RPS20
ENSG00000147604	0.0028694563	1	RPL7
ENSG00000156482	0.050019957	1	RPL30
ENSG00000070756	0.09461354	1	PABPC1
ENSG00000161016	-0.0031089585	0	RPL8
ENSG00000137154	2.2150714e-06	1	RPS6
ENSG00000148303	-0.005135189	0	RPL7A
