Gene	Weight	Tendency	Symbol
ENSG00000142669	0.046447594	1	SH3BGRL3
ENSG00000169442	0.2799941	1	CD52
ENSG00000122406	0.041489404	1	RPL5
ENSG00000197747	0.116894186	1	S100A10
ENSG00000196154	1.3762081	1	S100A4
ENSG00000177954	0.06711084	1	RPS27
ENSG00000158710	0.00556614	1	TAGLN2
ENSG00000115738	-0.014502238	0	ID2
ENSG00000143947	0.00674653	1	RPS27A
ENSG00000034510	-0.0542913	0	TMSB10
ENSG00000163466	-0.004759604	0	ARPC2
ENSG00000187514	-0.025949912	0	PTMA
ENSG00000174748	-0.042558447	0	RPL15
ENSG00000168028	0.056782216	1	RPSA
ENSG00000188846	0.022098554	1	RPL14
ENSG00000162244	0.036519986	1	RPL29
ENSG00000163682	0.020739364	1	RPL9
ENSG00000109475	-0.047664504	0	RPL34
ENSG00000168685	0.046671815	1	IL7R
ENSG00000186468	-0.045597963	0	RPS23
ENSG00000169567	0.0962379	1	HINT1
ENSG00000019582	-0.50348425	0	CD74
ENSG00000164587	-0.23929213	0	RPS14
ENSG00000204525	-0.06306948	0	HLA-C
ENSG00000234745	-0.21095334	0	HLA-B
ENSG00000227507	0.7607141	1	LTB
ENSG00000156508	0.10863598	1	EEF1A1
ENSG00000075624	-0.10877451	0	ACTB
ENSG00000197448	0.21890473	1	GSTK1
ENSG00000179144	0.022049924	1	GIMAP7
ENSG00000002586	0.07309339	1	CD99
ENSG00000205542	-0.13688526	0	TMSB4X
ENSG00000102007	0.16586915	1	PLP2
ENSG00000241343	0.030939633	1	RPL36A
ENSG00000147403	-9.3841334e-07	0	RPL10
ENSG00000156482	0.049000766	1	RPL30
ENSG00000104529	-4.4833064e-07	0	EEF1D
ENSG00000135046	0.15638521	1	ANXA1
ENSG00000136942	0.006634782	1	RPL35
ENSG00000026025	0.23935336	1	VIM
ENSG00000138326	-0.18362233	0	RPS24
ENSG00000167996	0.29076883	1	FTH1
ENSG00000251562	-0.41815773	0	MALAT1
ENSG00000172757	-0.05863246	0	CFL1
ENSG00000172543	-0.24910365	0	CTSW
ENSG00000213402	-0.00018138056	0	PTPRCAP
ENSG00000198851	0.014109812	1	CD3E
ENSG00000118181	0.05365052	1	RPS25
ENSG00000111640	0.0442003	1	GAPDH
ENSG00000111716	0.28684196	1	LDHB
ENSG00000092841	-0.09897575	0	MYL6
ENSG00000133639	-3.106303e-07	0	BTG1
ENSG00000111229	-0.01873311	0	ARPC3
ENSG00000133112	0.20430388	1	TPT1
ENSG00000136156	0.014816211	1	ITM2B
ENSG00000213741	0.0304079	1	RPS29
ENSG00000140264	-0.12297556	0	SERF2
ENSG00000166710	0.27550244	1	B2M
ENSG00000174444	0.050643068	1	RPL4
ENSG00000140988	-0.29456672	0	RPS2
ENSG00000008517	2.2853048	1	IL32
ENSG00000102879	-0.06277387	0	CORO1A
ENSG00000103187	0.013246438	1	COTL1
ENSG00000131143	-0.1280941	0	COX4I1
ENSG00000051523	-0.2757463	0	CYBA
ENSG00000167526	-0.43992525	0	RPL13
ENSG00000108518	0.08389068	1	PFN1
ENSG00000170315	-0.037109695	0	UBB
ENSG00000161570	-2.1398015	0	CCL5
ENSG00000108298	-0.07711462	0	RPL19
ENSG00000136490	-0.017279439	0	LIMD2
ENSG00000184009	-0.040881593	0	ACTG1
ENSG00000173762	-0.20120913	0	CD7
ENSG00000124172	-0.013271158	0	ATP5E
ENSG00000125534	0.0060365815	1	PPDPF
ENSG00000115268	-0.0711448	0	RPS15
ENSG00000167658	0.02258595	1	EEF2
ENSG00000130255	0.12737867	1	RPL36
ENSG00000171223	0.083953	1	JUNB
ENSG00000160888	0.05791588	1	IER2
ENSG00000089327	0.33337295	1	FXYD5
ENSG00000126264	-0.21952716	0	HCST
ENSG00000178982	-0.0039315666	0	EIF3K
ENSG00000130755	-1.5338038e-07	0	GMFG
ENSG00000105193	-1.5883336e-06	0	RPS16
ENSG00000105372	-0.20658948	0	RPS19
ENSG00000105373	0.015149079	1	GLTSCR2
ENSG00000087086	-0.27235067	0	FTL
ENSG00000142541	-0.011477944	0	RPL13A
ENSG00000170889	-0.16160844	0	RPS9
ENSG00000108107	-0.11105086	0	RPL28
ENSG00000083845	-5.643121e-07	0	RPS5
ENSG00000198888	-0.057154085	0	MT-ND1
ENSG00000198804	-0.26543766	0	MT-CO1
ENSG00000198712	-0.18359765	0	MT-CO2
ENSG00000198938	-0.117059566	0	MT-CO3
ENSG00000198886	-0.044109352	0	MT-ND4
