Gene	Weight	Tendency	Symbol
ENSG00000116251	0.011816792	1	RPL22
ENSG00000142676	0.31568635	1	RPL11
ENSG00000142669	-0.096573584	0	SH3BGRL3
ENSG00000065978	-0.011350617	0	YBX1
ENSG00000177606	-2.0463269	0	JUN
ENSG00000196154	-1.5305513	0	S100A4
ENSG00000177954	0.23308776	1	RPS27
ENSG00000143947	0.04406728	1	RPS27A
ENSG00000034510	0.112156585	1	TMSB10
ENSG00000071082	0.07375187	1	RPL31
ENSG00000144713	0.22913834	1	RPL32
ENSG00000174748	-0.020667074	0	RPL15
ENSG00000168028	-0.053622525	0	RPSA
ENSG00000114391	0.029425861	1	RPL24
ENSG00000182899	0.029644426	1	RPL35A
ENSG00000163682	0.04399501	1	RPL9
ENSG00000145425	0.07565523	1	RPS3A
ENSG00000019582	-0.9172383	0	CD74
ENSG00000164587	0.051593103	1	RPS14
ENSG00000120129	-0.0007677018	0	DUSP1
ENSG00000206503	-0.22866507	0	HLA-A
ENSG00000204525	-0.0790919	0	HLA-C
ENSG00000234745	-0.22825104	0	HLA-B
ENSG00000227507	0.22006196	1	LTB
ENSG00000112306	7.805417e-07	1	RPS12
ENSG00000075624	-0.9335123	0	ACTB
ENSG00000196683	0.004959251	1	TOMM7
ENSG00000130429	-0.018817274	0	ARPC1B
ENSG00000179144	0.09634003	1	GIMAP7
ENSG00000169100	-0.0019128569	0	SLC25A6
ENSG00000205542	0.0010777393	1	TMSB4X
ENSG00000133872	0.022240616	1	TMEM66
ENSG00000008988	0.024787273	1	RPS20
ENSG00000147604	0.03706601	1	RPL7
ENSG00000156482	0.10626137	1	RPL30
ENSG00000197958	-0.039063983	0	RPL12
ENSG00000148303	-0.071848735	0	RPL7A
ENSG00000138326	-0.027536428	0	RPS24
ENSG00000177600	0.009285736	1	RPLP2
ENSG00000110700	0.028564168	1	RPS13
ENSG00000167996	-0.08920123	0	FTH1
ENSG00000149806	-0.009832967	0	FAU
ENSG00000251562	0.7382637	1	MALAT1
ENSG00000213402	-0.06058352	0	PTPRCAP
ENSG00000198851	0.09079401	1	CD3E
ENSG00000167286	0.06729696	1	CD3D
ENSG00000118181	0.10604433	1	RPS25
ENSG00000139193	0.020841926	1	CD27
ENSG00000111640	0.009831469	1	GAPDH
ENSG00000111716	0.14585271	1	LDHB
ENSG00000133639	0.13156742	1	BTG1
ENSG00000111229	-0.022969848	0	ARPC3
ENSG00000122026	0.03999761	1	RPL21
ENSG00000133112	0.053617414	1	TPT1
ENSG00000213741	0.04565457	1	RPS29
ENSG00000140264	-0.027533162	0	SERF2
ENSG00000166710	-0.029820232	0	B2M
ENSG00000174444	0.09777349	1	RPL4
ENSG00000137818	-0.3131509	0	RPLP1
ENSG00000008517	-1.7495953	0	IL32
ENSG00000134419	0.06058395	1	RPS15A
ENSG00000051523	-0.18748029	0	CYBA
ENSG00000108518	-0.7875985	0	PFN1
ENSG00000170315	-0.12390951	0	UBB
ENSG00000198242	-0.004924659	0	RPL23A
ENSG00000172809	0.018788643	1	RPL38
ENSG00000132475	0.016806943	1	H3F3B
ENSG00000104904	-0.3799789	0	OAZ1
ENSG00000104964	0.03450229	1	AES
ENSG00000130255	0.020677008	1	RPL36
ENSG00000171223	0.03909842	1	JUNB
ENSG00000160888	-0.27706373	0	IER2
ENSG00000105640	0.017748665	1	RPL18A
ENSG00000126264	-0.08794173	0	HCST
ENSG00000105372	-0.04526176	0	RPS19
ENSG00000105373	0.039046906	1	GLTSCR2
ENSG00000087086	-0.13610274	0	FTL
ENSG00000104894	-0.024209408	0	CD37
ENSG00000142541	0.000514862	1	RPL13A
ENSG00000142534	-0.03407952	0	RPS11
ENSG00000142546	0.06531503	1	NOSIP
ENSG00000100316	0.035055373	1	RPL3
ENSG00000198888	-0.049271666	0	MT-ND1
ENSG00000198763	-0.078391515	0	MT-ND2
ENSG00000198804	-0.23329715	0	MT-CO1
ENSG00000198712	-0.082688056	0	MT-CO2
ENSG00000198938	-0.10794933	0	MT-CO3
ENSG00000198886	-0.06397289	0	MT-ND4
ENSG00000198727	-0.015085021	0	MT-CYB
