Gene	Weight	Tendency	Symbol
ENSG00000196154	-0.4148529	0	S100A4
ENSG00000177954	-0.2832234	0	RPS27
ENSG00000158869	0.8599277	1	FCER1G
ENSG00000115523	1.1156558	1	GNLY
ENSG00000164587	-0.17915896	0	RPS14
ENSG00000231500	-0.060224954	0	RPS18
ENSG00000112306	-0.17925932	0	RPS12
ENSG00000205542	-0.3730095	0	TMSB4X
ENSG00000198034	-0.13549826	0	RPS4X
ENSG00000169583	0.7453469	1	CLIC3
ENSG00000251562	-0.060084112	0	MALAT1
ENSG00000149273	-0.119299136	0	RPS3
ENSG00000122026	-0.020560967	0	RPL21
ENSG00000140988	-0.38464952	0	RPS2
ENSG00000161570	-0.65768766	0	CCL5
ENSG00000173762	0.4810628	1	CD7
ENSG00000105640	-0.027121753	0	RPL18A
ENSG00000011600	0.2383044	1	TYROBP
ENSG00000105372	-0.0149204	0	RPS19
ENSG00000087086	-0.14228396	0	FTL
ENSG00000142541	-0.16399382	0	RPL13A
ENSG00000105374	0.78536916	1	NKG7
