Gene	Weight	Tendency	Symbol
ENSG00000169442	0.40580085	1	CD52
ENSG00000196154	0.036301777	1	S100A4
ENSG00000115523	0.75018746	1	GNLY
ENSG00000187514	-0.08306956	0	PTMA
ENSG00000075624	-0.30571735	0	ACTB
ENSG00000205542	-0.1556683	0	TMSB4X
ENSG00000147403	-0.34100902	0	RPL10
ENSG00000167996	-0.016792055	0	FTH1
ENSG00000251562	-0.35098135	0	MALAT1
ENSG00000167286	0.47066057	1	CD3D
ENSG00000100450	1.3678395	1	GZMH
ENSG00000166710	-0.023768349	0	B2M
ENSG00000137818	-0.24673662	0	RPLP1
ENSG00000008517	0.4149034	1	IL32
ENSG00000167526	-0.5903451	0	RPL13
ENSG00000161570	0.83521205	1	CCL5
ENSG00000198804	-0.13652848	0	MT-CO1
