JobID: 20250110220303GW2TVJLHOR8CE6
http://xteam.xbio.top/ACT/ResultAction.action?jobID=20250110220303GW2TVJLHOR8CE6

Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Leiden_0	Hepatocyte	5.13923751240813e-11	2.3683122176996e-13	NA	3/91	6/205	SERPINA1,SPINK1,KRT18	NEAT1,AMBP,SERPINA1,VTN,SPINK1,RBP4
2	Leiden_0	Epithelial cell	0.0129839993893857	9.47502061150876e-05	0.269072164948454	4/376	11/838	KRT18,TM4SF4,MT-CO2,SEC61G	NEAT1,MPC2,RARRES2,SPINK1,PRAP1,HSPA5,KRT18,MDK,RBP4,S100A10,HSP90B1
3	Leiden_0	Monocyte	0.0129839993893857	0.000290785612600648	NA	4/218	3/191	NEAT1,SERPINA1,SEC61G,CD63	NEAT1,SERPINA1,S100A10
4	Leiden_0	Cholangiocyte	0.0167892580124985	0.000472584664818092	0.0886524822695035	2/36	5/109	KRT18,TM4SF4	AMBP,SERPINA1,SPINK1,KRT18,TM4SF4
1	Leiden_1	Effector memory CD8-positive, alpha-beta T cell	2.19858686946207e-38	1.12748044587798e-39	NA	7/44	0/1	IL7R,CXCR4,GZMK,CD69,TRAC,GPR183,CCL5	
2	Leiden_1	CD4-positive, alpha-beta T cell	1.65877058570732e-31	3.09917299037258e-29	5.2244174622417e-06	10/93	26/817	IL7R,ANXA1,GZMK,CD69,TRAC,LTB,TNFAIP3,GPR183,CD2,CCL5	IL7R,CXCR4,ANXA1,GZMK,ZFP36L2,CD3D,RGCC,CD69,RPS29,TRAC,LTB,LEPROTL1,RPS25,S100A4,CD52,RPS27,SRGN,TNFAIP3,RORA,CD3E,SARAF,GPR183,RPL28,RPL31,CD2,CCL5
3	Leiden_1	Effector memory CD4-positive, alpha-beta T cell	3.87822704641043e-31	3.97766876554915e-32	NA	6/26	0/1	IL7R,CXCR4,ANXA1,GZMK,RORA,CCL5	
4	Leiden_1	Central memory CD4-positive, alpha-beta T cell	2.4578404176446e-27	3.15107745851872e-28	NA	6/25	0/1	IL7R,ANXA1,ZFP36L2,CD69,TRAC,LTB	
5	Leiden_1	Memory T cell	5.29535484327363e-27	1.12510080233863e-26	0.00107132040245909	5/16	18/214	IL7R,CD69,LTB,S100A4,GPR183	IL7R,CXCR4,GZMK,ZFP36L2,CD3D,CD69,RPS29,TRAC,LTB,LEPROTL1,CD52,RPS27,TNFAIP3,CD3E,GPR183,RPL28,CD2,CCL5
6	Leiden_1	Helper T cell	4.56192382316144e-25	6.4092098885267e-24	0.000203087719544418	6/57	15/159	IL7R,CXCR4,GZMK,CD69,CD52,GPR183	IL7R,CXCR4,CD3D,CD69,RPS29,TRAC,LTB,S100A4,CD52,RPS27,SRGN,RORA,CD3E,RPL31,CD2
7	Leiden_1	Activated CD4-positive, alpha-beta T cell	6.06573186666216e-22	6.45144930639335e-22	0.00347791763232156	5/30	16/85	IL7R,ANXA1,RGCC,CD69,LTB	IL7R,CXCR4,ANXA1,CD3D,RGCC,CD69,TRAC,LTB,LEPROTL1,S100A4,CD52,TNFAIP3,RORA,CD3E,GPR183,CD2
8	Leiden_1	CD8-positive, alpha-beta T cell	1.32903350565819e-15	2.1091529668155e-16	0.0400801603206413	8/96	19/302	IL7R,GZMK,CD69,TRAC,LTB,GPR183,CD2,CCL5	IL7R,CXCR4,ANXA1,GZMK,ZFP36L2,CD3D,RGCC,CD69,TRAC,LEPROTL1,S100A4,CD52,SRGN,TNFAIP3,RORA,CD3E,SARAF,CD2,CCL5
9	Leiden_1	CD8-positive, alpha-beta cytotoxic T cell	6.29482045997054e-13	8.10720090092122e-12	0.000646347066466256	5/51	26/503	ANXA1,GZMK,CD69,CD2,CCL5	IL7R,CXCR4,GZMK,ZFP36L2,CD3D,RGCC,CD69,RPS29,TRAC,LTB,LEPROTL1,RPS25,S100A4,CD52,RPS27,SRGN,TNFAIP3,RORA,CD3E,SARAF,GPR183,RPL28,RPL31,CD2,RPL36A,CCL5
10	Leiden_1	T-helper 17 cell	2.07669342425409e-12	2.57426605289161e-12	0.00762296461655662	2/31	7/56	IL7R,RORA	IL7R,ANXA1,GZMK,CD3D,CD69,LTB,S100A4
1	Leiden_10	Plasma cell	7.09410107500623e-57	6.03842300988088e-57	3.85021989624477e-05	7/64	7/209	MZB1,JCHAIN,IGHG1,IGKC,IGHG4,IGLC2,IGHG3	MZB1,JCHAIN,IGHG1,IGKC,IGHG4,IGLC2,IGHG3
