subclu	gene	abs_score	pos_score
1	PPBP	2.24143239108424	1.37234451584074
1	IGLL5	2.39705844552741	2.39705844552741
1	PF4	2.54402507922575	1.15955424732167
1	GNG11	2.53185866778869	1.66391587812302
1	CLU	2.41880172302747	2.13760802490694
1	SDPR	1.92302794527094	1.417243103277
1	S100A8	2.18448390349526	2.13823430731243
1	S100A9	2.00956271403991	1.43105466506304
1	GNLY	5.76061997709801	-5.76061997709801
1	IGJ	1.18690465832396	0.414568464395092
1	CD74	1.64458629008489	0.169761100113123
1	PRSS1	1.73486799454003	0.159574730062762
1	ACRBP	2.41248564813219	2.02754373788354
1	HIST1H2AC	1.82163696210987	-0.160057275402507
1	PTGDS	5.81313495613236	-5.81313495613236
1	NRGN	2.56817645390842	1.82520534173186
1	SPARC	2.28307671049604	0.943788712401335
1	GP9	2.60766301941011	1.08129069736223
1	TUBB1	2.039472260372	1.78838242108161
1	HLA-DRA	2.55036240312089	1.91284034447619
1	AL928768.3	1.86651140024512	-0.000309208008333783
1	NKG7	5.62782875583002	-5.62782875583002
1	PTCRA	3.44983541314887	3.19186806447813
1	TPSAB1	1.40861436525974	0.670615528420984
1	MYL9	2.95601978869961	-0.315432694619383
1	LYZ	1.67665338627625	1.67665338627625
1	CCL5	2.97253484668293	-2.48837228670994
1	CST3	2.36350783135255	1.18399370873719
1	FTL	0.411316810111727	0.3385170490843
1	NCOA4	1.05959975452049	0.833967581079518
1	PRSS3	1.63409878335191	1.11935014793336
1	TREML1	2.50945308434432	1.17972775116894
1	ITGA2B	2.14029230075822	2.08030658056845
1	CMTM5	2.56418291945112	1.30154581689669
1	MZB1	1.56767932284405	1.26610551222836
1	TSC22D1	1.23254658840545	0.614482714406113
1	CLDN5	2.50200454779326	0.0315544447757884
1	TCL1A	1.34750257215429	1.02004544890194
1	GPX1	1.65389999183967	1.47451536324011
1	RUFY1	1.06746792490297	0.585640617117633
1	HLA-DRB1	2.78221059741619	1.22290960420087
1	MAP3K7CL	1.6449743954093	0.675915108379256
1	AIF1	3.04992980870842	3.04992980870842
1	MALAT1	0.800394288948089	-0.794887061883835
1	GZMB	6.14326163586367	-6.14326163586367
1	HLA-DPB1	2.17390460020687	1.21102845131416
1	LST1	1.86055799197686	1.54063391047133
1	C1QA	1.60980834496355	1.31352183952131
1	TYROBP	4.79086530765395	-4.59745995949572
1	FCN1	1.75635002364202	1.75635002364202
1	FCER1A	3.77066405110344	3.77066405110344
1	FTH1	0.804303826861802	0.787877958725728
1	TMEM40	2.49614777003036	0.698272472747953
1	SCT	1.83051533853245	1.66216017904527
1	HLA-DPA1	2.18125771132357	0.963040616213257
1	AP001189.4	2.4031782760364	1.22446759743109
