Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	Clus_ASDC	Monocyte	5.71789546095369e-15	3.03566069429084e-18	0.188796680497925	8/218	10/365	CD52,S100A9,SAT1,TXN,MALAT1,ANXA2,CST3,FTL	CD52,S100A10,S100A9,PLAC8,SAT1,ANXA2,CST3,SAMHD1,FTL,FCGRT
2	Clus_ASDC	Dendritic cell	1.57416099733429e-14	2.54921990126376e-17	0.129032258064516	10/143	16/307	CD52,S100A9,PLAC8,TXN,IRF8,TCF4,CST3,PPP1R14A,AXL,FTL	CD52,S100A10,PLAC8,TMSB4X,SAT1,TXN,B2M,ANXA2,RPLP1,IRF8,TCF4,CST3,SAMHD1,PPP1R14A,AXL,FTL
3	Clus_ASDC	Plasmacytoid dendritic cell	1.64054430985652e-12	1.94255017491739e-13	0.00302766662262926	6/93	9/295	CCDC50,PLAC8,SOX4,IRF8,TCF4,CST3	CCDC50,PLAC8,SOX4,PLP2,TXN,C12orf75,IRF8,TCF4,APP
4	Clus_ASDC	Suppressor macrophage	1.30239826643563e-09	2.24551425247522e-11	NA	2/16	0/1	S100A9,CST3	
5	Clus_ASDC	Classical monocyte	2.48574210886623e-09	5.3572028208324e-11	NA	3/122	2/66	S100A9,PLAC8,CST3	S100A9,CST3
6	Clus_ASDC	Neutrophil	2.14409179044097e-08	5.54506497527838e-10	NA	3/117	4/280	S100A9,PLAC8,CST3	S100A9,PLAC8,TXN,RPLP1
7	Clus_ASDC	CD1c-positive myeloid dendritic cell	4.0165722780097e-08	1.21189680802017e-09	NA	2/15	2/35	S100A9,CST3	S100A9,CST3
8	Clus_ASDC	Macrophage	3.54276688363195e-07	4.1101247107608e-09	0.150602409638554	8/281	14/653	CD52,S100A9,SAT1,B2M,CST3,FTL,MT-ND2,MT-CO3	CD52,S100A10,S100A9,PLAC8,TMSB4X,SAT1,B2M,ANXA2,IRF8,CST3,SAMHD1,AXL,FTL,FCGRT
9	Clus_ASDC	Monocyte-derived dendritic cell	0.000163399220221987	6.5520433841316e-06	0.0688559322033898	2/26	8/577	S100A9,CST3	CCDC50,TMSB4X,SAT1,TXN,B2M,ANXA2,PPP1R14A,FTL
10	Clus_ASDC	Myeloid suppressor cell	0.00191645921991075	0.000198848683637045	0.0355329949238579	2/41	13/446	CD52,S100A9	CD52,S100A10,S100A9,PLAC8,TMSB4X,SAT1,B2M,ANXA2,RPLP1,CST3,SAMHD1,FTL,FCGRT
1	Clus_B_intermediate	Memory B cell	1.21716726283105e-09	9.92857474191999e-13	0.541950113378685	4/39	7/44	BANK1,MS4A1,GPR183,IGHM	TXNIP,RALGPS2,TMSB10,BANK1,MS4A1,IGHM,CD79A
2	Clus_B_intermediate	Effector memory CD8-positive, alpha-beta T cell	1.97576864392686e-07	4.25812207742856e-09	NA	3/47	1/78	CXCR4,TMSB4X,GPR183	IGHM
3	Clus_B_intermediate	Immature B cell	1.97576864392686e-07	2.33946529592793e-08	0.00659197862122389	2/5	6/119	MS4A1,CD79A	RALGPS2,BANK1,MS4A1,GPR183,IGHM,CD79A
4	Clus_B_intermediate	Naive B cell	2.27725697138098e-07	2.35940722786043e-09	0.108108108108108	2/22	6/66	MS4A1,IGHM	TXNIP,TMSB10,BANK1,MS4A1,IGHM,CD79A
5	Clus_B_intermediate	Granulocyte	9.53147470020915e-07	3.69755484059837e-08	NA	4/69	0/40	BANK1,MS4A1,IGHM,CD79A	
6	Clus_B_intermediate	Pro-B cell	6.19705689427858e-06	2.93825973435622e-07	NA	3/17	3/73	MS4A1,IGHM,CD79A	CXCR4,IGHM,CD79A
7	Clus_B_intermediate	Plasma cell	0.00016418147971676	8.58163178719062e-06	NA	3/64	2/333	MS4A1,IGHM,CD79A	IGHM,CD79A
8	Clus_B_intermediate	Alternatively activated macrophage	0.000273716368564841	1.28299535928106e-06	0.875854214123007	3/56	5/215	TXNIP,CXCR4,GPR183	TXNIP,TMSB10,ACTB,TMSB4X,TPT1
9	Clus_B_intermediate	Plasmacytoid dendritic cell	0.00304098868265482	0.000196615647585441	NA	3/93	3/295	MS4A1,GPR183,CD79A	CXCR4,GPR183,IGHM
10	Clus_B_intermediate	Helper T cell	0.00573535567515008	0.000420263131368756	NA	2/60	3/159	CXCR4,GPR183	TXNIP,CXCR4,MALAT1
1	Clus_B_memory	Memory B cell	7.72469007336077e-18	2.06643420068401e-20	0.0657015590200445	8/39	9/44	AIM2,BANK1,CD74,HLA-DRA,BLK,MS4A1,IGHG1,IGHM	TXNIP,TMSB10,IGKC,BANK1,CD74,HLA-DRA,MS4A1,BTG1,IGHM
2	Clus_B_memory	Granulocyte	2.53013024264506e-17	3.27172014135137e-19	NA	9/69	2/40	PTPRC,IGKC,BANK1,CD74,HLA-DRA,MS4A1,LYZ,IGHA1,IGHM	HLA-DRA,FTH1
3	Clus_B_memory	Plasma cell	7.22360673507165e-16	6.03113863362271e-18	0.0472527472527473	6/64	6/333	PTPRC,IGKC,MS4A1,IGHA1,IGHG1,IGHM	IGKC,CD74,IGHA1,IGHG1,IGHM,B2M
4	Clus_B_memory	Macrophage	2.27153293905478e-13	9.55176719553339e-16	0.164493480441324	8/281	15/653	CTSS,PTPRC,CD74,HLA-DRA,FTH1,LYZ,BTG1,B2M	TXNIP,CTSS,PTPRC,TMSB10,CD74,HLA-DRA,MARCKS,TMSB4X,FTH1,MYL6,LYZ,BTG1,ITM2B,SERF2,B2M
5	Clus_B_memory	Monocyte	1.35173518890142e-12	6.6667455427651e-14	0.0172830445682552	7/218	14/365	CTSS,PTPRC,CD74,HLA-DRA,FTH1,MALAT1,LYZ	TXNIP,CTSS,PTPRC,TMSB10,IGKC,CD74,LTB,HLA-DRA,MARCKS,FTH1,MYL6,LYZ,ITM2B,SERF2
6	Clus_B_memory	Dendritic cell	8.59386040461951e-12	9.159640650265e-13	0.00969969195051036	6/143	11/307	PTPRC,IGKC,CD74,LTB,HLA-DRA,LYZ	CTSS,PTPRC,TMSB10,CD74,HLA-DRA,MARCKS,TMSB4X,FTH1,LYZ,SERF2,B2M
7	Clus_B_memory	Central memory CD4-positive, alpha-beta T cell	9.28787728453716e-11	3.62629637163317e-12	NA	5/28	0/1	PTPRC,TMSB10,CD74,LTB,ITGB1	
8	Clus_B_memory	Mesenchymal stem cell	1.11324065531659e-10	3.97586688501935e-13	0.436974789915966	4/145	6/326	PTPRC,CD74,HLA-DRA,ITGB1	TMSB10,MARCKS,FTH1,MALAT1,MYL6,SERF2
9	Clus_B_memory	Memory T cell	4.09386325284689e-08	2.60700361094418e-10	0.336225596529284	2/19	8/214	PTPRC,LTB	TXNIP,PTPRC,LTB,FTH1,MALAT1,ITGB1,ARID5B,BTG1
10	Clus_B_memory	Pro-B cell	1.51318282771929e-07	9.13127568451295e-09	NA	4/17	4/73	CD74,HLA-DRA,MS4A1,IGHM	CD74,LTB,HLA-DRA,IGHM
1	Clus_B_naive	Naive B cell	7.75043185671585e-22	2.54905824377821e-24	0.0221619744037784	4/22	5/66	MS4A1,TCL1A,IGHD,IGHM	HLA-DRA,MS4A1,TCL1A,IGHD,IGHM
2	Clus_B_naive	B cell	1.41375545610719e-19	1.49179429990665e-20	0.0023246464764591	6/169	8/264	CXCR4,HLA-DRA,MS4A1,TCL1A,IGHD,IGHM	CXCR4,HLA-DRA,MS4A1,MALAT1,TCL1A,IGHD,IGHM,B2M
3	Clus_B_naive	Memory B cell	2.91734991944318e-18	1.56778945892252e-20	0.0650306748466258	5/39	5/44	HLA-DRA,MS4A1,TCL1A,IGHD,IGHM	HLA-DRA,MS4A1,TCL1A,IGHD,IGHM
4	Clus_B_naive	Granulocyte	2.19323931092623e-09	4.7268088597548e-11	NA	4/69	1/40	HLA-DRA,MS4A1,IGHD,IGHM	HLA-DRA
5	Clus_B_naive	Effector memory CD8-positive, alpha-beta T cell	4.85009883695995e-09	1.46339189046206e-10	NA	2/47	2/78	CXCR4,HLA-DRA	IGHM,B2M
6	Clus_B_naive	Pro-B cell	4.85009883695995e-09	5.49589803433826e-12	0.9375	4/17	5/73	HLA-DRA,MS4A1,TCL1A,IGHM	CXCR4,HLA-DRA,TCL1A,IGHD,IGHM
7	Clus_B_naive	Monocyte	4.70880473044767e-07	2.02965721139986e-08	NA	3/218	1/365	CXCR4,HLA-DRA,MALAT1	HLA-DRA
8	Clus_B_naive	Plasmacytoid dendritic cell	6.13749337256357e-07	2.91001840940514e-08	NA	4/93	4/295	HLA-DRA,MS4A1,TCL1A,IGHD	CXCR4,HLA-DRA,TCL1A,IGHM
9	Clus_B_naive	Endothelial cell	0.000377063038033325	2.60043474505741e-05	NA	4/466	3/268	CXCR4,HLA-DRA,MALAT1,B2M	HLA-DRA,MALAT1,B2M
10	Clus_B_naive	Macrophage	0.00152550077516696	0.000124933253138673	NA	3/281	3/653	CXCR4,HLA-DRA,B2M	CXCR4,HLA-DRA,B2M
1	Clus_CD14_Mono	CD14-positive monocyte	1.1879277341495e-53	3.36695423731108e-55	0.00229542189097575	6/25	9/155	S100A9,S100A8,VCAN,CD14,FCN1,LYZ	CTSS,S100A9,S100A8,VCAN,CD14,FCN1,NEAT1,LYZ,NFKBIA
2	Clus_CD14_Mono	Monocyte	1.1879277341495e-53	5.88287101371631e-55	0.00112639720849589	10/218	9/365	CTSS,S100A9,S100A8,VCAN,CD14,FCN1,NEAT1,MALAT1,LYZ,NFKBIA	CTSS,S100A9,S100A8,VCAN,CD14,FCN1,NEAT1,LYZ,NFKBIA
3	Clus_CD14_Mono	Classical monocyte	2.0692934267453e-38	5.69036931468811e-40	0.00486329184506176	7/122	7/66	S100A9,S100A8,VCAN,CD14,FCN1,NEAT1,LYZ	CTSS,S100A9,S100A8,VCAN,CD14,FCN1,LYZ
4	Clus_CD14_Mono	Suppressor macrophage	3.58598194881903e-26	6.18272749796385e-28	NA	4/16	0/1	S100A9,S100A8,CD14,LYZ	
5	Clus_CD14_Mono	Macrophage	8.24969165562612e-23	1.26375650273633e-25	0.235353535353535	11/281	12/653	CTSS,S100A9,S100A8,RPS27,VCAN,CD14,FCN1,NEAT1,LYZ,B2M,MT-ATP6	CTSS,S100A9,S100A8,RPS27,VCAN,CD14,TMSB4X,FCN1,NEAT1,LYZ,NFKBIA,B2M
