Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	B	B cell	4.90481500770236e-37	1.63542532725426e-37	0.000136648327169356	6/169	8/264	CD79A,MS4A1,IGKC,HLA-DRA,CD74,IGHM	CD79A,MS4A1,IGKC,HLA-DRA,CD74,IGHM,B2M,MALAT1
2	B	Plasma cell	4.06865336069387e-24	6.50511867771691e-27	0.084554678692221	4/64	5/333	CD79A,MS4A1,IGKC,IGHM	CD79A,IGKC,CD74,IGHM,B2M
3	B	Memory B cell	6.67025916350412e-19	1.38860750477944e-21	0.162901307966706	5/39	6/44	MS4A1,HLA-DRA,CD74,IGHM,S100A4	CD79A,MS4A1,IGKC,HLA-DRA,CD74,IGHM
4	B	Granulocyte	3.65925455052519e-16	7.88632446233878e-18	NA	6/69	1/40	CD79A,MS4A1,IGKC,HLA-DRA,CD74,IGHM	HLA-DRA
5	B	Immature B cell	8.15711129304107e-15	6.96472280114468e-16	0.00869418791937139	2/5	5/119	CD79A,MS4A1	CD79A,MS4A1,HLA-DRA,CD74,IGHM
6	B	Pro-B cell	8.15711129304107e-15	2.13188369631533e-16	NA	5/17	4/73	CD79A,MS4A1,HLA-DRA,CD74,IGHM	CD79A,HLA-DRA,CD74,IGHM
7	B	Naive B cell	4.74598124127486e-14	1.28019641402999e-16	0.330306469920545	2/22	6/66	MS4A1,IGHM	CD79A,MS4A1,IGKC,HLA-DRA,CD74,IGHM
8	B	Dendritic cell	1.96301586949184e-09	7.15367338127099e-11	0.0429988974641676	3/143	6/307	IGKC,HLA-DRA,CD74	HLA-DRA,CD74,TMSB4X,B2M,ACTB,S100A4
9	B	Plasmacytoid dendritic cell	5.80195477895144e-09	3.00101109256109e-10	NA	5/93	4/295	CD79A,MS4A1,IGKC,HLA-DRA,CD74	IGKC,HLA-DRA,CD74,IGHM
10	B	Monocyte	1.9640364086345e-08	7.03960440417337e-10	0.0629370629370629	4/218	5/365	CD79A,HLA-DRA,CD74,MALAT1	IGKC,HLA-DRA,CD74,ACTB,S100A4
1	CD4_T	Central memory CD4-positive, alpha-beta T cell	2.43407655242651e-33	1.03577725635171e-34	NA	8/25	0/1	CD4,TMSB10,IL7R,TRAC,MAL,IL32,LTB,ITGB1	
2	CD4_T	CD4-positive, alpha-beta T cell	4.26121582218536e-29	1.05465093158247e-27	3.51491546083607e-05	7/93	23/281	CD4,CD40LG,CD2,TRBC1,IL7R,TRAC,LTB	CD4,CD40LG,TRAT1,ITM2A,CD52,CD2,TRBC1,CD6,MAF,IL7R,IL6ST,TRAC,CD3G,ARID5B,GIMAP7,MAL,TRBC2,TSHZ2,IL32,LTB,RORA,S100A4,ITGB1
