Order	Cluster	Cell.Type	Padj	whg.p	gsea.p	Over.Markers.whg	Over.Markers.gsea	whg.overlap	gsea.overlap
1	B	B cell	5.90002886431939e-16	2.56522994100844e-18	NA	6/169	8/264	IGKC,CD74,HLA-DRA,MS4A1,IGHM,CD79A	IGKC,CD74,HLA-DRA,MS4A1,MALAT1,IGHM,B2M,CD79A
2	B	Plasma cell	6.67110602487206e-15	5.8009617607583e-17	NA	4/64	5/333	IGKC,MS4A1,IGHM,CD79A	IGKC,CD74,IGHM,B2M,CD79A
3	B	Granulocyte	4.62761670125586e-14	6.03602178424678e-16	NA	6/69	1/40	IGKC,CD74,HLA-DRA,MS4A1,IGHM,CD79A	HLA-DRA
4	B	Memory B cell	9.38421999219225e-14	1.6320382595117e-15	NA	5/39	6/44	S100A4,CD74,HLA-DRA,MS4A1,IGHM	IGKC,CD74,HLA-DRA,MS4A1,IGHM,CD79A
5	B	Pro-B cell	1.53577334045747e-12	4.006365235976e-14	NA	5/17	4/73	CD74,HLA-DRA,MS4A1,IGHM,CD79A	CD74,HLA-DRA,IGHM,CD79A
6	B	Macrophage	4.15328929328749e-11	1.26404456752228e-12	NA	4/281	6/653	S100A4,CD74,HLA-DRA,B2M	S100A4,CD74,HLA-DRA,ACTB,TMSB4X,B2M
7	B	Dendritic cell	9.49490794780526e-10	3.71539876218467e-11	NA	3/143	6/307	IGKC,CD74,HLA-DRA	S100A4,CD74,HLA-DRA,ACTB,TMSB4X,B2M
8	B	Monocyte	7.28407265892428e-09	3.16698811257577e-10	NA	4/218	5/365	CD74,HLA-DRA,MALAT1,CD79A	S100A4,IGKC,CD74,HLA-DRA,ACTB
9	B	Plasmacytoid dendritic cell	1.30916967018465e-08	6.26124624870919e-10	NA	5/93	4/295	IGKC,CD74,HLA-DRA,MS4A1,CD79A	IGKC,CD74,HLA-DRA,IGHM
10	B	Naive B cell	3.40873915393498e-07	1.77847260205303e-08	NA	2/22	6/66	MS4A1,IGHM	IGKC,CD74,HLA-DRA,MS4A1,IGHM,CD79A
1	CD4_T	Mature NK T cell	0.000137150203293188	5.8361788635399e-06	NA	3/39	8/141	CD52,CD2,PTPRC	SH3BGRL3,CD52,JUN,CD2,TXNIP,CD247,PTPRC,CD55
2	CD4_T	Memory T cell	0.00100839183620191	6.43654363533133e-05	NA	2/16	6/214	S100A4,PTPRC	CD52,JUN,CD2,TXNIP,RPS27,PTPRC
3	CD4_T	CD8-positive, alpha-beta cytotoxic T cell	0.0201690817021531	0.00300390578542705	NA	2/51	6/175	CD2,PTPRC	CD52,CD2,TXNIP,RPS27,CD247,PTPRC
4	CD4_T	Effector T cell	0.0201690817021531	0.00257862942478042	NA	2/48	1/67	JUN,TXNIP	CD2
1	CD8_T	Effector memory CD8-positive, alpha-beta T cell	3.86791099695066e-27	1.6459195731705e-28	NA	6/44	5/78	CD8A,CD8B,CD74,TMSB4X,TRAC,CCL5	S100A4,CD8A,CD8B,B2M,CCL5
2	CD8_T	T cell	6.58880842859003e-25	4.20562240122767e-26	NA	8/221	14/225	CD8A,CD8B,LTB,ACTB,FTH1,MALAT1,TRAC,CCL5	S100A4,CD8A,CD8B,PTMA,ARL4C,LTB,TMSB4X,CD3E,CD3D,CD3G,TPT1,TRAC,B2M,CCL5
