query,_id,_score,name,symbol,ensembl.gene,notfound,ensembl
MIR1302-2HG,ENSG00000243485,26.273949,MIR1302-2 host gene,MIR1302-2HG,ENSG00000243485,,
MIR1302-2HG,107985730,26.273949,MIR1302-2 host gene,MIR1302-2HG,,,
FAM138A,645520,27.062708,family with sequence similarity 138 member A,FAM138A,ENSG00000237613,,
OR4F5,79501,25.750221,olfactory receptor family 4 subfamily F member 5,OR4F5,ENSG00000186092,,
AL627309.1,,,,,,True,
AL627309.3,,,,,,True,
AL627309.2,,,,,,True,
AL627309.4,,,,,,True,
AL732372.1,,,,,,True,
OR4F29,729759,25.752413,olfactory receptor family 4 subfamily F member 29,OR4F29,ENSG00000284733,,
AC114498.1,,,,,,True,
OR4F16,81399,26.271759,olfactory receptor family 4 subfamily F member 16,OR4F16,ENSG00000284662,,
AL669831.2,,,,,,True,
AL669831.5,,,,,,True,
FAM87B,400728,27.063152,family with sequence similarity 87 member B,FAM87B,ENSG00000177757,,
LINC00115,ENSG00000225880,26.268175,long intergenic non-protein coding RNA 115,LINC00115,ENSG00000225880,,
LINC00115,79854,26.268175,long intergenic non-protein coding RNA 115,LINC00115,,,
FAM41C,284593,27.063417,family with sequence similarity 41 member C,FAM41C,ENSG00000230368,,
AL645608.7,,,,,,True,
AL645608.3,,,,,,True,
AL645608.5,,,,,,True,
AL645608.1,,,,,,True,
SAMD11,148398,17.595556,sterile alpha motif domain containing 11,SAMD11,ENSG00000187634,,
NOC2L,26155,17.558527,NOC2 like nucleolar associated transcriptional repressor,NOC2L,ENSG00000188976,,
KLHL17,339451,17.562086,kelch like family member 17,KLHL17,ENSG00000187961,,
PLEKHN1,84069,17.641787,pleckstrin homology domain containing N1,PLEKHN1,ENSG00000187583,,
PERM1,84808,17.987324,"PPARGC1 and ESRR induced regulator, muscle 1",PERM1,ENSG00000187642,,
AL645608.8,,,,,,True,
HES4,57801,18.679907,hes family bHLH transcription factor 4,HES4,ENSG00000188290,,
ISG15,9636,18.316225,ISG15 ubiquitin like modifier,ISG15,ENSG00000187608,,
AL645608.2,,,,,,True,
AGRN,375790,17.562582,agrin,AGRN,ENSG00000188157,,
AL645608.9,,,,,,True,
RNF223,401934,17.981783,ring finger protein 223,RNF223,ENSG00000237330,,
C1orf159,54991,22.554852,chromosome 1 open reading frame 159,C1orf159,ENSG00000131591,,
LINC01342,254099,27.059961,long intergenic non-protein coding RNA 1342,LINC01342,ENSG00000223823,,
AL390719.2,,,,,,True,
TTLL10-AS1,100506376,27.063547,TTLL10 antisense RNA 1,TTLL10-AS1,ENSG00000205231,,
TTLL10,254173,17.77972,tubulin tyrosine ligase like 10,TTLL10,ENSG00000162571,,
TNFRSF18,8784,17.985426,TNF receptor superfamily member 18,TNFRSF18,ENSG00000186891,,
TNFRSF4,7293,18.28767,TNF receptor superfamily member 4,TNFRSF4,ENSG00000186827,,
SDF4,51150,17.61336,stromal cell derived factor 4,SDF4,ENSG00000078808,,
B3GALT6,126792,17.558527,"beta-1,3-galactosyltransferase 6",B3GALT6,ENSG00000176022,,
C1QTNF12,388581,17.604353,C1q and TNF related 12,C1QTNF12,ENSG00000184163,,
AL162741.1,,,,,,True,
UBE2J2,118424,17.602057,ubiquitin conjugating enzyme E2 J2,UBE2J2,ENSG00000160087,,
LINC01786,ENSG00000230415,26.271315,long intergenic non-protein coding RNA 1786,LINC01786,ENSG00000230415,,
LINC01786,101928895,26.271315,long intergenic non-protein coding RNA 1786,LINC01786,,,
SCNN1D,6339,18.470451,sodium channel epithelial 1 subunit delta,SCNN1D,ENSG00000162572,,
ACAP3,116983,18.193384,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",ACAP3,ENSG00000131584,,
PUSL1,126789,17.573877,pseudouridine synthase like 1,PUSL1,ENSG00000169972,,
INTS11,54973,17.51933,integrator complex subunit 11,INTS11,ENSG00000127054,,
CPTP,80772,17.75985,ceramide-1-phosphate transfer protein,CPTP,ENSG00000224051,,
TAS1R3,83756,18.163189,taste 1 receptor member 3,TAS1R3,ENSG00000169962,,
DVL1,1855,18.178967,dishevelled segment polarity protein 1,DVL1,ENSG00000107404,,
MXRA8,54587,18.176332,matrix remodeling associated 8,MXRA8,ENSG00000162576,,
AURKAIP1,54998,17.57926,aurora kinase A interacting protein 1,AURKAIP1,ENSG00000175756,,
CCNL2,81669,18.202923,cyclin L2,CCNL2,ENSG00000221978,,
MRPL20,55052,17.46981,mitochondrial ribosomal protein L20,MRPL20,ENSG00000242485,,
AL391244.3,,,,,,True,
ANKRD65,441869,18.884892,ankyrin repeat domain 65,ANKRD65,ENSG00000235098,,
AL391244.2,,,,,,True,
TMEM88B,643965,17.892895,transmembrane protein 88B,TMEM88B,ENSG00000205116,,
LINC01770,ENSG00000225285,26.271315,long intergenic non-protein coding RNA 1770,LINC01770,ENSG00000225285,,
LINC01770,102724312,26.271315,long intergenic non-protein coding RNA 1770,LINC01770,,,
VWA1,64856,17.634666,von Willebrand factor A domain containing 1,VWA1,ENSG00000179403,,
ATAD3C,219293,23.906641,ATPase family AAA domain containing 3C,ATAD3C,ENSG00000215915,,
ATAD3B,83858,24.790258,ATPase family AAA domain containing 3B,ATAD3B,ENSG00000160072,,
ATAD3A,55210,19.26947,ATPase family AAA domain containing 3A,ATAD3A,ENSG00000197785,,
TMEM240,339453,18.180122,transmembrane protein 240,TMEM240,ENSG00000205090,,
SSU72,29101,16.512186,"SSU72 homolog, RNA polymerase II CTD phosphatase",SSU72,ENSG00000160075,,
AL645728.1,,,,,,True,
